ShipmentID,OriginPort,DestinationPort,ShipmentDate,DeliveryDate,ShipmentMode,Status,Cost,Revenue,FuelConsumption,Emissions,CustomerID,CustomerName,Industry,Region,TotalShipments,TotalSpend,AverageDeliveryTime,OnTimeDeliveryRate,SatisfactionScore,RouteID,DwellTimeAtTerminal,ScenarioID,ScenarioDescription,EstimatedCostSavings,EstimatedEfficiencyImprovement,ImpactOnDeliveryTime,ImpactOnCustomerSatisfaction,FuelType,CarbonOffsetInitiatives,SustainabilityScore,PredictedRevenue,PredictedCost,PredictedEmissions,PredictedDeliveryTime,PredictedCustomerSatisfaction
1,Mumbai,Shanghai,11-02-2025,16-01-2025,Sea,On-time,8946,17776,595,35,186,OPQ Enterprises,Electronics,North America,22,288552,18,96,4.9,R26,11,S31,Optimize fuel usage,5085,8,1,0.13,LNG,Tree Plantation,78,17011,9233,46,17,4.4
2,Singapore,New York,23-02-2025,20-02-2025,Sea,On-time,14501,14943,428,38,133,LMN Supply,Electronics,Asia,27,246116,24,94,4.4,R21,16,S25,Optimize fuel usage,3453,7,2,0.06,HFO,Wind Energy,79,12968,10570,34,16,4.4
3,New York,Singapore,08-02-2025,21-01-2025,Land,Delayed,10665,14694,595,32,147,ABC Logistics,Manufacturing,Middle East,12,320461,24,88,4.3,R18,15,S8,Cost reduction per shipment,6953,7,2,0.11,HFO,Wind Energy,74,14222,14325,42,22,4.9
4,Hamburg,Singapore,10-02-2025,06-01-2025,Sea,Delayed,8506,10805,450,30,132,OPQ Enterprises,Manufacturing,Middle East,10,240484,22,90,5,R15,18,S1,Increase container utilization,5789,9,1,0.18,LNG,Wind Energy,79,15150,13563,39,18,4.3
5,Mumbai,Hamburg,18-02-2025,09-03-2025,Air,On-time,13678,17798,551,30,197,Global Importers,Manufacturing,North America,24,281638,16,92,4.9,R15,17,S7,Optimize fuel usage,3165,7,2,0.16,MDO,Wind Energy,70,12471,10298,34,24,4.4
6,Antwerp,New York,11-01-2025,26-01-2025,Sea,On-time,14719,13791,413,48,160,OPQ Enterprises,Manufacturing,Asia,22,334476,22,97,4.3,R6,13,S7,Increase container utilization,5741,12,2,0.1,MDO,None,73,12058,8137,41,22,4.8
7,Los Angeles,Hamburg,08-02-2025,04-02-2025,Sea,Delayed,8243,11357,468,34,109,LMN Supply,Automotive,Asia,14,300647,15,86,4.5,R43,18,S8,Cost reduction per shipment,5252,9,2,0.19,HFO,Tree Plantation,74,12006,10798,37,22,4.8
8,Mumbai,New York,24-01-2025,18-01-2025,Air,Delayed,8505,13225,545,42,153,XYZ Traders,Retail,North America,22,265642,15,97,4.4,R31,10,S19,Optimize fuel usage,3877,11,0,0.06,LNG,Tree Plantation,76,14190,14597,41,22,4.8
9,New York,Antwerp,01-03-2025,08-02-2025,Air,Delayed,12517,13618,569,48,183,Global Importers,Automotive,North America,14,246009,18,87,4.1,R28,15,S17,Reduce average delay,3244,12,0,0.19,LNG,Wind Energy,74,12220,10930,45,22,5
10,Hamburg,Shanghai,15-02-2025,09-01-2025,Air,Delayed,11158,12126,456,41,164,LMN Supply,Electronics,North America,28,328824,21,90,5,R8,17,S11,Improve on-time performance,4894,9,1,0.09,MDO,Tree Plantation,89,15661,11920,31,22,4.8
